"","x"
"1","That!!! For my wedding anniversary trip to Venice <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>"
"2","W<ed><U+00A0><U+00BD><ed><U+00B8><U+008D>W absolutely Love to win this Totally gorgeous THIS :)  thank you so much for the opportunity Would be so thrilled to be a winner picked have loved Liked and shared thanks for chance Amanda Noble <ed><U+00A0><U+00BD><ed><U+00B9><U+0082>"
"3","That  Oh yes please very nice love this wot a fantastic Lovely prize giveaway would love to win hoping im lucky enough fingers crossed toes crossed as well thank you for the opportunity loved liked shared Deborah Parsons"
"4","This tropical dress ! Would look wonderful in summer with heels at work and out in the evening. In the winter with leggings ankle boots and jacket for work and again could go out for dinner too with a bright lippy! I Could literally wear it in every season. Love the gorgeous green !"
"5","Both are beautiful. Dandelion is a far better length, and as long as it doesn't have too higher waist band (puff out too high and you just look pregnant!) this would make a very elegant dress."
"6","THIS - such a gorgeous dress for the summer whether it be weddings, festivals or picnics. Be great to win so i can wear on my honeymoon <ed><U+00A0><U+00BD><ed><U+00B8><U+008A> hope i win <ed><U+00A0><U+00BD><ed><U+00B9><U+008F>"
"7","THIS tropical dress please. Would be perfect for my summer holiday and special occasions I have planned throughout the year. <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>"
"8","Absolutely love THAT! 
I have 3 weddings coming up and this dress would be perfect!
Count me in please <U+263A>
#Everythingcrossed"
"9","THIS tropical dress would look lovely on my girlfriend and I'm pretty sure she can find another space in our wardrobe for that too."
"10","Love both but would love to win THAT - <U+2764><U+FE0F> the print and neckline. To win after moving twice in 2 weeks would be amazing <ed><U+00A0><U+00BD><ed><U+00B8><U+0098> xxx"
"11","THIS would be a amazing 
I might not be going on holiday but at least I would feel tropical in this dress yes please Oasis <ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B1><U+008D><ed><U+00A0><U+00BD><ed><U+00B8><U+008E><ed><U+00A0><U+00BD><ed><U+00B8><U+008E><ed><U+00A0><U+00BD><ed><U+00B8><U+008E><ed><U+00A0><U+00BD><ed><U+00B8><U+008E><ed><U+00A0><U+00BD><ed><U+00B8><U+008E><ed><U+00A0><U+00BD><ed><U+00B8><U+008E> WIN IT"
"12","THIS..... wow what an amazing & generous prize..#win.....loved liked dreamed and share with my best chum Michelle Danton.......i would be over the moon & be thrilled to bits to win.........fingers tightly crossed......... thank you for the chance & good luck to you all x.."
"13","THAT dandelion dress would be absolutely wonderful to win! The waist line and shape of the dress is absolutely perfect for someone who is pear shaped like me."
"14","Winning isn't everything--but would really love to win ....this lovely prize <ed><U+00A0><U+00BC><ed><U+00BE><U+008A> would really love <U+2764><U+FE0F> to win keeping my fingers crossed <ed><U+00A0><U+00BE><ed><U+00B4><U+009E> good luck to everyone and thank you for this opportunity <ed><U+00A0><U+00BC><ed><U+00BD><U+0080>liked and shared too <ed><U+00A0><U+00BD><ed><U+00B2><U+0090>"
"15","That is lovely and Refreshing 
Thank you for the chance <U+263A><U+FE0F>"
"16","That 
<U+2763><U+FE0F> Liked and Shared <U+2763><U+FE0F>
Love to win this great prize
<ed><U+00A0><U+00BD><ed><U+00B8><U+0098> Thanks for the opportunity <ed><U+00A0><U+00BD><ed><U+00B8><U+0098>"
"17","THIS topical dress please simply stunning piece.  Liked and shared and crossing my fingers"
"18","This! Perfect for all these weddings I need to go to! #winit"
"19","THAT dandelion dress would be perfect for my holiday to Cape Verde next month! Thanks is for the chance <ed><U+00A0><U+00BD><ed><U+00B1><U+0097><ed><U+00A0><U+00BD><ed><U+00B1><U+00A0><U+2708><U+FE0F><U+2600><U+FE0F><U+2764><ed><U+00A0><U+00BC><ed><U+00BD><U+0080>"
"20","THAT Dandelion dress!
Fab prize ..count me in please 
Would love to be your lucky winner
I have liked and shared <ed><U+00A0><U+00BD><ed><U+00B2><U+0099>"
"21","Oh yes please! THIS Would be Just Brilliant! All done & Thank you for the chance! <ed><U+00A0><U+00BD><ed><U+00B8><U+008A><ed><U+00A0><U+00BC><ed><U+00BD><U+0080>"
"22","THIS tropical dress please. Loving the Green as it's my fave colour. xxx"
"23","THAT as in my eyes its STUNNING <U+2611><U+FE0F>Thank you kindly and all done <ed><U+00A0><U+00BC><ed><U+00BD><U+0082><ed><U+00A0><U+00BC><ed><U+00BD><U+0083>"
"24","Definitely THAT perfect for my hollibobs and summer <U+2600><U+2600>"
"25","THIS tropical dress is beautiful, I'd love to #win it for my holibobs :)"
"26","That please
Wonderful giveaway... Please count me in <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>
How lovely 
Fingers tightly crossed <ed><U+00A0><U+00BC><ed><U+00BD><U+0080>
Liked and sharing <ed><U+00A0><U+00BD><ed><U+00B2><U+0093> xx"
"27","That, is the perfect date night dress with my husband it would cover all my food sins too"
"28","THIS Tropical dress would be perfect for my trip to Marbella xx"
"29","Love This Tropical dress xx <ed><U+00A0><U+00BC><ed><U+00BE><U+0089>FANTASTIC! yes Please <ed><U+00A0><U+00BD><ed><U+00B8><U+0080> Would love to win <ed><U+00A0><U+00BC><ed><U+00BC><U+009F> Thanks for the chance n good luck everyone xx"
"30","THAT dandelion dress is my fave out of the two. I love dandelions! #win"
"31","THIS <U+2764><ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BD><ed><U+00B1><U+008D> beautiful tropical dress. Would be thrilled to win. Fingers crossed <ed><U+00A0><U+00BD><ed><U+00B8><U+008A>"
"32","THAT dandelion dress would be amazing for day/work and nights out :)"
"33","THIS tropical dress
Great giveaway thanks for the chance to win liked and shared"
"34","Omg I love both but will go with THIS tropical dress as I'm trying too stop wearing black so much <ed><U+00A0><U+00BD><ed><U+00B8><U+0082>"
