"","x"
"1","THIS clutch bag, definately!! Classy and understated!!! Please can I #WINIT ?? <ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC><ed><U+00A0><U+00BD><ed><U+00B9><U+008F><ed><U+00A0><U+00BC><ed><U+00BF><U+00BC>"
"2","Love a clutch but with Barbies and Shopkins to carry round d everywhere for my 6 year old That Tote would have to be my preferred option at the moment. It's a fab colour too- goes with everything! #that"
"3","THAT please :) it's fabulous <ed><U+00A0><U+00BD><ed><U+00B2><U+0097> just had a baby girl so all the space would be handy for bottles, toys, nappies and stuff <ed><U+00A0><U+00BD><ed><U+00B8><U+0082> (as well as plenty of biscuits & lipstick for mammy <ed><U+00A0><U+00BD><ed><U+00B8><U+0089>)"
"4","THAT popping out tote is totes lovely! I'm a little bit obsessed with grey ATM, and this is gorgeous! I could fit everything I need, and more (shopping purchases!) in it <U+2764><U+FE0F> #WIN"
"5","THAT. Such a beautiful colour and so practical too. Good size. Could easily take my laptop to work in this instead of trying to juggle two bags everyday."
"6","That - beautiful tote bag so stylish and  roomy.  <ed><U+00A0><U+00BD><ed><U+00B1><U+009C><ed><U+00A0><U+00BD><ed><U+00B2><U+0096>.  My partner ribbed my bag taking from the ground of our car and got caught in the back of the passenger seat, feeling guilty ever since <ed><U+00A0><U+00BD><ed><U+00B8><U+009E>."
"7","THAT tote is a great colour that would work for smart or casual, and I always use an across body bag as I don't have any nice totes or shoulder bags, so this would be a nice departure! <U+2764>"
"8","That Tote! Would be perfect for being a mum on the go trying to look (semi) stylish but also carting around all sorts of ""essentials"" for my little boy on trips out!!"
"9","That- WIN! love a tote bag, I always carry so much around with me! Also colour goes well with every so great staple item for the wardrobe <ed><U+00A0><U+00BD><ed><U+00B1><U+008C><ed><U+00A0><U+00BC><ed><U+00BF><U+00BB><U+2764>"
"10","THAT! I love the colour and a great size to fit everything in! It would be really useful for when I go on a city break with my boyfriend! It would mean I can fit all my bits and bobs in, plus a map, water and plenty of snacks! Xxx Practical and Smart <U+2764><U+FE0F> love it! Xx #WINIT"
"11","THAT POPPING OUR TOTE BAG - A classic for every woman - Super roomy, long-handled tote bag will carry your working day essentials and weekend shopping - Thanks for the giveaway!"
